,comment,date
389,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on January 29, 2020 tagging @kimokvin, and @geewonii. 이미지: 사람 1명 이상, 재미있는 이미지, 문구: 'LINKEDIN IG FACEBOOK ARTHDA ARTHDALCHRONI LCHR NICLES INSTAGRAM TINDER'.","January 29, 2020"
390,"Photo by 히더니 on July 21, 2020. 사진 설명이 없습니다..","July 21, 2020"
391,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 09, 2020. 이미지: 사람 1명, 실외.","June 09, 2020"
392,"Photo by 윤회장 on April 11, 2020. 이미지: 사람 1명.","April 11, 2020"
393,Photo by 파주반영구화장 야당반영구화장 금촌반영구화장 운정반영구 in 경기도  파주시 운정신도시. 사진 설명이 없습니다..,
394,"고등학생 실화니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
⠀
⠀
#신사의품격 #드라마
#장동건 #김수로 #레전드
#고전드라마 #드라마짤 #김은숙작가
#존웃 #김민종 #배우
⠀
⠀
✔️대부분 영상 직접 편집합니다! 불펌하지 말아주세요!!!! ㅠㅠㅠㅠ
_
👉🏻@100000xhumor 십만유머 팔로우 부탁드려요 🥰 매일 업로드 됩니다 ❣️",
395,"#장동건  #배우  #연기자  #고소영 #장동건♡고소영  #조각  #얼굴조각  #장조각  #장미남  #장배우  #품절남 ✔ 창궐 신사의품격  친구  마지막승부  우리들의천국 등등
📷 이미지 출처 : 네이버",
396,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on June 02, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 근접 촬영.","June 02, 2020"
397,"Photo by @hi_camp_tv_youtube on July 13, 2020. 이미지: 사람 1명, 음료.","July 13, 2020"
398,"@harpersbazaarkorea Instagram Update!❤With @geewonii •
•
#김지원 #KimJiWon #geewonii #金智媛 #キムジウォン #태양의후예 #쌈마이웨이 #decendantsofthesun #fightformyway #아스달연대기 #ArthdalChronicles #상속자들 #theheirs #미스터션샤인 #mrsunshine #송중기 #장동건 #박서준 #parkseojoon #seowoncouple #songjoongki #김옥빈 #goowoncouple",
399,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on February 27, 2020 tagging @geewonii. 이미지: 사람 1명, 근접 촬영.","February 27, 2020"
400,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 22, 2020 tagging @yejunekim, and @choo.jahyun. 이미지: 사람 1명 이상, 어린이, 문구: 'Mom, what's that supposed to mean?'.","May 22, 2020"
401,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 16, 2020 tagging @geewonii. 이미지: 사람 2명, 실내.","July 16, 2020"
402,"Photo by ChoTaewoo on July 05, 2020. 이미지: 사람 8명.","July 05, 2020"
403,"Photo by 경민이 / 맨토스브로우 on April 18, 2020. 이미지: 사람 1명, 음료, 실내.","April 18, 2020"
404,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 03, 2020. 이미지: 사람 1명, 실외.","May 03, 2020"
405,"Photo shared by ARTHDAL CHRONICLES INDONESIA on June 03, 2020 tagging @arthdalchronicles, @arthdalchroniclesofficial, @arthdalchroniclesfp, and @arthdalchronicles_indo. 이미지: 사람 1명 이상, 서 있는 사람들, 실외, 물.","June 03, 2020"
406,"Photo by PAPERBLANKS KOREA OFFICIAL🇰🇷 on August 09, 2020. 이미지: 하늘, 나무, 실외, 자연.","August 09, 2020"
407,"🎞️Жанры: боевик, триллер 🇰🇷Производство: Южная Корея 👤 Актеры: Ли Чон Сок, Ким Мён Мин, Пак Хи Сун, О Дэ Хван, Чан Дон Гон, Чо У Джин, Тэ Ин Хо, Пак Сон Ун, Ю Джэ Мён
📽️ Описание Сын высокопоставленного чиновника Кван Иль (Ли Чон Сок) из Северной Кореи совершает серию убийств, путешествуя по разным странам всего мира. В фильме рассказывается о том, что происходит после того, как Северная Корея, Южная Корея и Интерпол начинают выслеживать преступника. ------- #VIP #ЛиЧонСок #LeeJongSuk #이종석 #ЧанДонГон #JangDongGun #장동건 #ЧоУДжин #JoWooJin #조우진 #JoShinJe #조신제 #ПакСонУн #ParkSungWoong #박성웅 #ЮДжэМён #YooJaeMyung #유재명 #КимМёнМин #KimMyungMin #김명민",
408,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 12, 2020 tagging @netflix, @tvn_joy, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 4명, 텍스트.","March 12, 2020"
409,"wow 🙈🙈🙈🙈 .
.
#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
410,"Reposted from @akirahsuchiuliang 2018.04.13 highcutstar IG Update •
•

highcutstar 
40대 대표 장동건, 20대 대표 박형식. 비주얼 국가대표 배우 두 명의 화보를 하이컷 220호에서 만나보세요!👬📸
.
#하이컷 #HIGHCUT #하이컷스타 #HIGHCUTSTAR #장동건 #박형식 @phs1116
•

highcutstar 
Jang Dong-Gun, a representative in his 40s, and Park Hyung-Sik, a representative in his 20s. Meet the two visual national team actors in High Cut 220!👬📸
.
#HIGHCUT #HIGHCUT #HIGHCUTSTAR #HIGHCUTSTAR #Park Hyung-sik @phs1116

@highcutstar 🙏💖 - #regrann",
411,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on March 20, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명.","March 20, 2020"
412,"Photo by 배우🎥남희주 on June 10, 2020. 이미지: 사람 2명, 앉아 있는 사람들, 문구: '영화 해안선'.","June 10, 2020"
413,"Photo by 뽀롱뽀롱 끄적끄적 on July 27, 2020. 이미지: 사람 2명, 실내, 문구: 'CROWN E'.","July 27, 2020"
414,"Photo by 조연경 on June 12, 2020. 이미지: 음료, 실내.","June 12, 2020"
415,"Photo by 🇰🇷메아리🇯🇵 on March 02, 2020. 이미지: 사람 2명, 텍스트.","March 02, 2020"
416,"Photo by @zzingbbang on March 26, 2020. 이미지: 텍스트.","March 26, 2020"
417,"Photo by hiromiikororin ❁ on July 30, 2020. 이미지: 사람 2명.","July 30, 2020"
418,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 26, 2020 tagging @kidohun, and @geewonii. 이미지: 사람 2명.","March 26, 2020"
419,"😇 ⚔️ 😈 [ Twin brother]
Arthdal Chronicles X The Man in the Iron Mask
-
Song Joong Ki: 'I Want Become Actor Like Leonardo DiCaprio'""",
420,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 02, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 2명, 구름, 문구: 'WONBR L jiwonbr'.","March 02, 2020"
421,"Photo by 이승준(쭌이†) on April 25, 2020. 이미지: 사람 1명, 문구: '야귀 액션 블록버스터 창천 10원 25일 대개 봉'.","April 25, 2020"
422,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 03, 2020 tagging @netflix, and @netflixkr. 이미지: 사람 2명, 문구: 'IGI ARTH ARTHDALCHRONICLES HRON IG'.","May 03, 2020"
423,~ Team Arthdal Chronicles fighting!! 💪🏾😁,
424,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 24, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 3명, 어린이, 실외, 문구: 'GAnlan 원30비 1124 @kim_ gwnii'.","May 24, 2020"
425,"Luna, a musician in Laos🇱🇦, wanted to record music🎤 with a more professional environment and staff in Korea.
🎙#mina -#justlikenow 🎙
.
.
.
.
.
Special K-Pop Experience Only on Travel to Seoul!
#koreatrip #seoultrip #seoulkorea #kpop #seoulexperience #kpopexperience #kpopfan #allaboutyou #장동건 #채림 #김소연 #한재석",
426,"TnE Sports
Baseball player 장동건
Img캠프 후 진화되어 돌아왔습니다!!
.
⚾️야구선수트레이닝
⛳골프선수트레이닝
⛳골프트레이닝
⛳골프필라테스/필라테스
🎖선수트레이닝
🏸다이어트/건강증진
.
.
#Tne트레이닝
#tne스포츠
#baseballtraining
#baseball
#야구트레이닝
#야구레슨
#투수레슨
#타자레슨
#장타자
#슬레이드
#golf
#golftraining
#선수트레이닝
#training
#달리기레슨
#구속증가
#비거리증가
#김태규트레이너
#육상레슨
#imgacademy
#야구
#야구선수
#장동건
#img캠프
#다이어트
#구속증가
#퍼포먼스트레이닝",
427,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 14, 2020. 이미지: 사람 1명, 실외.","May 14, 2020"
428,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 20, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 앉기, 문구: 'BAZAAR @kim 9wnii'.","May 20, 2020"
429,"Photo by 로코코빈티지샵 on July 06, 2020. 사진 설명이 없습니다..","July 06, 2020"
430,"Photo by 백승호 on May 06, 2020. 이미지: 사람 1명, 셀카, 근접 촬영.","May 06, 2020"
431,"Photo by 어리버리호야 on February 29, 2020. 이미지: 사람 4명.","February 29, 2020"
432,"🔞<영화 '친구'(2001)>의 클립영상을 오랜만에 봤어요 준석(유오성)이 담배를 버리먼서 동수(장동건)의 살해를 지시하는 장면을 보면서 나의나라 이방원이 부채를 전소시키면서 서휘세력의 몰살을 지시하는 장면이 생각이 났어요

음..오마주라고까지 하기에는 무리겠지만 어쨌건 두 장면 모두 대사보다는 부채나 담배라는 장치를 사용해 은유적으로 인물의 심리를 잘 표현한거 같아요
사적으로 친구인 정적을 버리고 공적으로 조직의 대의를 택하는 인물의 내적 갈등이요 둘다 정말 정말 명장면, 명연기였어요👍

#장혁 #janghyuk #チャンヒョク #จางฮยอก #张赫 
#영화 #친구 #부산 #유오성 #장동건 #곽경택
#나의나라  #mycountry

@ajincome 배우님! 느와르 영화 하나만 찍어주세요 🙏",
433,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 12, 2020. 이미지: 사람 3명, 텍스트.","February 12, 2020"
434,".
Sejarah yang bisa diubah
.
.
#2009LostMemories #JangDongGun #장동건 #ToruNakamura #KimGyuRi #김규리 #KoreanMovie #한국영화 #JapanMovie #Sejarah #JasaDownload #dirumahajah #PSBB",
435,"Photo by 뽀롱뽀롱 끄적끄적 on April 01, 2020. 이미지: 침실, 실내.","April 01, 2020"
436,"Photo by 장두완 on September 05, 2020. 이미지: 화면.","September 05, 2020"
437,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on February 01, 2020 tagging @geewonii. 이미지: 사람 3명.","February 01, 2020"
438,"Photo by Eunoia🎈 on March 02, 2020. 이미지: 사람 1명, 실외.","March 02, 2020"
439,"Photo shared by ARTHDAL CHRONICLES 아스달연대기 on May 06, 2020 tagging @tukkatamickie, and @historydnc. 이미지: 사람 4명, 근접 촬영, 텍스트.","May 06, 2020"
440,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 24, 2020 tagging @netflix, @salt_ent, @tvn_joy, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 10명, 문구: 'DRAMA REAL'.","March 24, 2020"
441,"Photo by Лия <서영> on March 06, 2020. 이미지: 사람 6명, 텍스트.","March 06, 2020"
442,"Photo by ARTHDAL CHRONICLES 아스달연대기 on May 14, 2020. 이미지: 사람 1명.","May 14, 2020"
443,"~ All the people envious of Kim Ji Won’s beautiful and successful. She’s famous actress!! @geewonii is perfect!
.
Kim Ji Won as Tanya for Arthdal Chronicles // See you next season 2",
444,"Photo by 로코코빈티지샵 on August 27, 2020. 사진 설명이 없습니다..","August 27, 2020"
445,영화 '7년의 밤',
446,영화 '7년의 밤',
447,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 13, 2020 tagging @netflix, @tvn_joy, @netflixkr, and @tvndrama.official. 이미지: 실외, 자연.","March 13, 2020"
448,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 27, 2020 tagging @eunoorang. 이미지: 사람 2명, 근접 촬영, 텍스트.","May 27, 2020"
449,"Photo by Hyosung's world on June 27, 2020. 이미지: 사람 10명.","June 27, 2020"
450,"<Trailer sub ita.>
Arthdal Chronicles 
아스달 연대기 [Aseudal yeondaegi] 🎬TRAMA 
In una terra mitica chiamata Arthdal, gli abitanti dell'antica città di Arthdal affrontano lotte di potere, mentre alcuni incontrano l'amore lungo la strada. Eunseom(Song Joong-ki) attraversa difficoltà per riportare in vita la sua tribù e apprende delle sue vere origini nel processo. 👉Facebook
https://www.facebook.com/Lingua-Coreana-con-K-drama-102305344770783/ 👉https://youtu.be/SdnATfbTGXk 🙋‍♀️Tutti gli episodi potete vedere su Netflix.

#linguacoreana #coreano #한국어 #한국어공부 #learnkorean #Korean #한국드라마 #dramacoreano #아스달연대기 #arthdalchronicles #송중기 #김지원 #장동건 #김우빈 #Netflix #넷플릭스추천 #넷플릭스 #studykorean",
451,"Photo by CR.SEA on July 11, 2020. 이미지: 사람 2명, 서 있는 사람들, 문구: '신사 의 품'.","July 11, 2020"
452,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 05, 2020 tagging @arthdalchronicles, @geewonii, and @arthdalchroniclesofficial. 이미지: 사람 2명.","July 05, 2020"
453,"Photo by Hyosung's world on June 12, 2020. 이미지: 사람 10명.","June 12, 2020"
454,하루에 한개씩 좋은일을 찾아서 하기로 했다. #장동건,
455,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 26, 2020 tagging @netflix, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 2명, 텍스트.","March 26, 2020"
456,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 28, 2020. 이미지: 사람 1명 이상, 근접 촬영.","April 28, 2020"
457,"Photo by 영화 홍보사_ 플래닛 on September 11, 2020. 이미지: 사람 7명, 무대 위에 있는 사람들, 실내.","September 11, 2020"
458,Photo by 宮井 直年 in Yokohama. 이미지: 텍스트.,
459,"Taegukgi: The Brotherhood of War/태극기 휘날리며 (2004) Directed by Kang Je-gyu.

Jin-tae (Jang Dong-gun) is soon to be married to his fiancee (Lee Eun-ju) and works hard to make a living for his family on Jongno Street in Seoul. Despite his hard life, he is always positive. Jin-tae's brother, Jin-seok (Won-bin), though weak with a heart condition, does what he can for his family and is about to take his college entrance exam. One day in June the brothers are with their family going about their daily lives when it is announced that war has broken out on the Korean peninsula. When Jin-tae finds out that his brother as been drafted and taken aboard a military train, he goes after him. A fight between Jin-tae and the military breaks out after he tries to rescue his brother and he too gets drafted. What follows is a determined Jin-tae, risking his life on the front line, to the extreme, in order to win the favour of his commanders so that in return they may send his brother home. However, the more brutal Jin-tae becomes to do what he deems necessary to help his brother, the more his brother starts to hate him, for what he has become. Things take a turn for the worse for Jin-tae, when the country he has so valiently fought for ends up betraying him. 
Influenced somewhat by 'Saving Private Ryan'  Taegukgi tells a story of two brothers caught in a war. However, I think Taegukgi is a much better film. With a really good story and some great acting It definitely deserves to be credited as one of the best Korean films ever made, and it is one of the best I have ever seen. Highly recommend.

#taegukgi #태극기 #택극기휘날리며 #kangjegyu #강제규 #장동건 #jangdonggun #wonbin #원빈 #이은주 #leeeunju #konghyunjin #공현진 #이영란 #koreanwar #한국전쟁 #KoreanFilm #KoreanCinema  #한국영화 #bluray #dvd #physicalmedia #AsianCinem #SouthKorea #Korea #warfilm #TaegukgiTheBrotherHoodofWar",
460,"Photo by ユミ on June 28, 2020. 이미지: 사람 3명.","June 28, 2020"
461,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on February 13, 2020 tagging @kimokvin, @sungcheol2, @teoyoo, and @geewonii. 이미지: 사람 14명, 문구: 'Arthdal Chronicles 예언의 아이들 partI partI 뒤집히는 하늘,일어나는 하늘, The Part rophesy Sky Turnin Inside Out, Rising Land Arth, The ALL Legends will be back with season Z!'.","February 13, 2020"
462,"Photo by Kim Ji Won Philippines 🇵🇭 on June 11, 2020. 이미지: 사람 6명, 문구: '""Arthdal Chronicles"" Reportedly Delays Production Of 2nd Season + Production Company Responds'.","June 11, 2020"
463,~ Kim Ok Vin as Taealha for Arthdal Chronicles // See you next season 2 in 2021,
464,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 01, 2020 tagging @kimokvin, and @geewonii. 이미지: 사람 2명, 문구: 'IG ARTHDALCHRONICLES LES +'.","June 01, 2020"
465,😤 COVID-19 😁,
466,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 02, 2020 tagging @gobogyeol. 이미지: 사람 2명.","May 02, 2020"
467,"Photo by 독고&독히 엄마 on January 29, 2020. 이미지: 사람 1명 이상, 텍스트.","January 29, 2020"
468,"Photo by 1일1군밤 on May 23, 2020. 사진 설명이 없습니다..","May 23, 2020"
469,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 04, 2020 tagging @netflix, @salt_ent, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 1명 이상, 근접 촬영.","June 04, 2020"
470,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 02, 2020 tagging @songgeonhee, and @salua_official. 이미지: 사람 2명, 서 있는 사람들, 실외.","April 02, 2020"
471,"Photo by kimcthemax on July 16, 2020. 이미지: 사람 1명.","July 16, 2020"
472,"Photo by 화가쌤artist on June 10, 2020. 이미지: 사람 1명, 그림.","June 10, 2020"
473,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 04, 2020 tagging @hbo, @netflix, @tvn_joy, @netflixfr, @netflixbrasil, @netflixes, @netflixpt, @jtbcdrama, @netflixkr, @netflixca, and @tvndrama.official. 이미지: 사람 1명 이상, 말, 문구: 'Arthdal Chronicles 2019 18+ Season ""Episode 1"" Sanung and the Saram propose an alliance with the blue-eyed Neanthal, but when things don't go as expected, Tagon takes command of the Great Hunt.'.","March 04, 2020"
474,"一百種告白方法/第7種
-一起生活吧
나랑 살자
같이 살자 
다음 생 에선 누구랑 살던 상관않 할게
대신 이번 생에 나랑 살자 
행복할거야
약속할께

和我一起生活吧
下輩子你要跟誰過我不管
但是這輩子跟我一起過吧
會幸福的
我向你約定

不需要什麼鑽戒鮮花
簡單的一段話
整個就要融化了❤️
不得不說金銀淑編劇的劇
台詞都好美喔

#신사의품격#紳士的品格#張東健#장동건#金荷娜#김하늘#韓劇 #drama #koreadrama #고백법 #一百種告白方法",
475,"Photo by 푸드르럭 알로하피자 on May 03, 2020. 이미지: 사람 2명, 하늘, 실외.","May 03, 2020"
476,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 03, 2020. 이미지: 사람 1명, 근접 촬영.","April 03, 2020"
477,"Photo by 한지은 on July 28, 2020. 이미지: 문구: '여자 꼬시는 방법 @유그녀'.","July 28, 2020"
478,"In 2012, I went to South Korea and it went like..... 🎭🇰🇷 #tbt 
•
#janghyuk #장혁 #leebumsoo #이범수 #jangdonggun #장동건 #kimsoohyun #김수현 #songdongil #성동일 #bts #사이코지만괜찮아 #itsokaytonotbeokay",
479,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 02, 2020 tagging @kimokvin, @salt_ent, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 2명, 문구: 'IG ARTHDALCHRONICLES N 방 첫 ARTHDAL CHRONICLES ME 한국스포츠경제'.","August 02, 2020"
480,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on September 07, 2020 tagging @netflix, @salt_ent, @netflixbrasil, @netflixpt, @netflixkr, @geewonii, and @theswoonnetflix. 이미지: 사람 1명, 근접 촬영, 문구: 'I am the next great mother of the Wahan Tribe.'.","September 07, 2020"
481,"Photo by 🐶🐶🐶🐶🐶 on April 25, 2020. 사진 설명이 없습니다..","April 25, 2020"
482,"#응답하라2002#0802#연애시절#데이트
#대구시내#동성로#나지트#MSHOCK
#녹음실#스튜디오#아지트#그때#그시절
#KTF#NA#나#한일월드컵#불타는사랑
#과수원최씨#흥일씨#보고싶네
#좋은#추억은#언제나#아름답다
#올해결혼18년차#요즘다시연애질중
#장동건#너에게로가는길#우리들의천국OST

가사.

사랑해 너의 전부를 그 환한 웃음부터 
소중한 것이 떠날수록 깊어져가는 눈까지 
잊지마 세상 모두가 니 꿈을 비웃어도 
언젠가 웃는 것은 너라는 걸 
가끔씩 내가 흔들리면 너의 길을 나에게 보여줘 
가까이 서로 지켜 볼 수 있게 
너는 아직 모를 꺼야 너하나로 빛나는 하루를 
많은 길이 세상엔 있다지만 
나는 택한 거야 너에게로 가는 길을 
잊지마 세상 모두가 니 꿈을 비웃어도 
언젠가 웃는 것은 너라는 걸 
가끔씩 내가 흔들리면 너의 길을 나에게 보여줘 
가까이 서로 지켜 볼 수 있게 
너는 아직 모를 꺼야 너하나로 빛나는 하루를 
많은 길이 세상엔 있다지만 
나는 택한 거야 너에게로 가는 길을 
너는 아직 모를 꺼야 너하나로 빛나는 하루를 
많은 길이 세상엔 있다지만 
나는 택한 거야 너에게로 가는 길을",
483,"Photo by natsu on May 28, 2020. 이미지: 사람 2명, 서 있는 사람들, 텍스트.","May 28, 2020"
484,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 08, 2020 tagging @netflix, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 4명.","June 08, 2020"
485,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 06, 2020 tagging @netflix, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 1명 이상.","June 06, 2020"
486,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 20, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명.","May 20, 2020"
487,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 19, 2020. 이미지: 사람 7명, 재미있는 이미지, 텍스트.","April 19, 2020"
488,"Taegukgi: The Brotherhood of War/태극기 휘날리며 (2004) Directed by Kang Je-gyu.

Jin-tae (Jang Dong-gun) is soon to be married to his fiancee (Lee Eun-ju) and works hard to make a living for his family on Jongno Street in Seoul. Despite his hard life, he is always positive. Jin-tae's brother, Jin-seok (Won-bin), though weak with a heart condition, does what he can for his family and is about to take his college entrance exam. One day in June the brothers are with their family going about their daily lives when it is announced that war has broken out on the Korean peninsula. When Jin-tae finds out that his brother as been drafted and taken aboard a military train, he goes after him. A fight between Jin-tae and the military breaks out after he tries to rescue his brother and he too gets drafted. What follows is a determined Jin-tae, risking his life on the front line, to the extreme, in order to win the favour of his commanders so that in return they may send his brother home. However, the more brutal Jin-tae becomes to do what he deems necessary to help his brother, the more his brother starts to hate him, for what he has become. Things take a turn for the worse for Jin-tae, when the country he has so valiently fought for ends up betraying him. 
Influenced somewhat by 'Saving Private Ryan'  Taegukgi tells a story of two brothers caught in a war. However, I think Taegukgi is a much better film. With a really good story and some great acting It definitely deserves to be credited as one of the best Korean films ever made, and it is one of the best I have ever seen. Highly recommend.

#taegukgi #태극기 #택극기휘날리며 #kangjegyu #강제규 #장동건 #jangdonggun #wonbin #원빈 #이은주 #leeeunju #konghyunjin #공현진 #이영란 #koreanwar #한국전쟁 #KoreanFilm #KoreanCinema  #한국영화 #bluray #dvd #physicalmedia #AsianCinem #SouthKorea #Korea #warfilm #TaegukgiTheBrotherHoodofWar",
489,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 13, 2020. 이미지: 사람 2명, 문구: '15 HAPPY 31TH BIRTHDAY Chang Ryul'.","February 13, 2020"
490,"Photo by 정주현 on August 23, 2020. 이미지: 문구: 'zalnolda 여자들이 매력을 느낀다는 남자들의 식단'.","August 23, 2020"
491,"Photo shared by ARTHDAL CHRONICLES 아스달연대기 on March 08, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 4명, 근접 촬영.","March 08, 2020"
492,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on June 09, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 3명, 서 있는 사람들.","June 09, 2020"
493,"~ Cute!!♥️
Song Joong Ki and Go Bo Gyeol as Eunseom and Chaeeun for Arthdal Chronicles. See you next season 2!
Cr; Purplishblood via Tumgir",
494,"Photo by みか on July 20, 2020. 이미지: 사람 1명.","July 20, 2020"
495,"Photo by @_wonnnnnnn2_ on May 07, 2020. 이미지: 개, 실외.","May 07, 2020"
496,"🤤 АКТЁРЫ КОТОРЫЕ ОЧЕНЬ МОЛОДО ВЫГЛЯДЯТ🥥 КТО ЧЕЙ КРАШ?💜 МОЙ СЫН ХО🤤
⌘︎
⌘︎
🦋Ещё больше таких видео у меня на странице༆︎
➪︎ @partunato
🦋Подпискуꨄ︎ и будь одной(им) из моих печенек 💘
⌘︎
🦋Название дорам, и треков вы можете найти в телеграмм канале𑁍︎ссылка в описании профиля💘
⌘︎
⌘︎
⌘︎
⌘︎
⌘︎
⌘︎
⌘︎
⌘︎
⌘︎
𝓽𝓪𝓰𝓼❦︎
#koreanactor #kdramalover #kdramaedit #kdrama #dorama #дорамы #корейскиеактёры #поужинаемвместе #blackkdrama #хроникиасдаля #осеньвмоемсердце #сонсынхон #психновсевпорядке #аварийнаяпосадкалюбви #гоблиндорама #паксонун #parksungwoong #박성웅 #songseungheon #송승헌 #лиминхо #arthdalchronicles  #алыесердцакорё #имилионзвездпадаютснебес #дорамы2020 #цветокзла #адвокатвнезакона #чандонгон #jangdongyoon #장동건",
497,영화 내용은 기억이 가물가물하지만 이 영화 오프닝만큼은🙆🏻,
498,"Photo by 영화 홍보사_ 플래닛 on September 11, 2020. 이미지: 사람 4명, 정장.","September 11, 2020"
499,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 17, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 2명, 문구: '9시방송 2 DRAMA oden loading... REAL'.","May 17, 2020"
500,"Photo by 로코코빈티지샵 on January 31, 2020. 사진 설명이 없습니다..","January 31, 2020"
501,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on July 15, 2020 tagging @kimokvin, @netflixkr, and @tvndrama.official. 이미지: 사람 4명, 문구: 'IG ARTHDALCHRONICLES'.","July 15, 2020"
502,"~ 🤣😂🤣😂
Filming of Arthdal Chronicles Season 2 on September or October 2020 // See you next season 2 in 2021",
503,"Photo by beautiful_love on August 17, 2020. 이미지: 사람 2명, 실내.","August 17, 2020"
504,"Photo by Things Good on April 04, 2020. 이미지: 사람 1명, 근접 촬영.","April 04, 2020"
505,"Photo by 최윤정 on March 10, 2020. 이미지: 사람 1명 이상, 잠자는 사람들.","March 10, 2020"
506,"Photo by Alexandria on June 04, 2020. 이미지: 사람 4명, 문구: 'Handsome Dad... Kandria from Korean Actor Actress'.","June 04, 2020"
507,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 11, 2020 tagging @kimokvin, @arthdalchronicles, and @arthdalchroniclesofficial. 이미지: 사람 1명.","July 11, 2020"
508,"Photo by 크라운구스_청담플래그쉽 on July 07, 2020. 이미지: 침실, 실내.","July 07, 2020"
509,"#GZSS #썰방
.
.
.
#유튜버 #장동건 만의
#냄시 안나는 
#드레드헤어 #관리법 .
.
역싀,,,,, #셀럽 은 피곤해...🤔🤔",
510,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 28, 2020 tagging @onlyoneprivate. 이미지: 사람 2명, 문구: '2 HAPPY 26TH BIRTHDAY ONE c JUNG JE WON )'.","March 28, 2020"
